[ RUN      ] CoordinatorTest.TruncateLearnedFill
I0318 17:39:25.622424  2212 replica.cpp:469] Reading position from leveldb took 11.90us
I0318 17:39:25.639507  2212 replica.cpp:384] Persisting action (19 bytes) to leveldb took 16.62ms
I0318 17:39:25.639536  2212 replica.cpp:967] Persisted action at 7
I0318 17:39:25.640063  2065 coordinator.cpp:384] Telling other replicas of learned action at position 7
I0318 17:39:25.640403  2065 coordinator.cpp:395] Coordinator attempting to fill position 8 in the log
I0318 17:39:25.640413  2212 replica.cpp:907] Replica received learned notice for position 7
I0318 17:39:25.641167  2211 replica.cpp:704] Replica received explicit promise request for 2 for position 8
I0318 17:39:25.666064  2211 replica.cpp:384] Persisting action (8 bytes) to leveldb took 24.19ms
I0318 17:39:25.688231  2211 replica.cpp:967] Persisted action at 8
I0318 17:39:25.689807  2212 replica.cpp:384] Persisting action (19 bytes) to leveldb took 48.52ms
I0318 17:39:25.691958  2212 replica.cpp:967] Persisted action at 7
I0318 17:39:25.729842  2212 replica.cpp:912] Replica learned APPEND action at position 7
I0318 17:39:25.730283  2212 replica.cpp:704] Replica received explicit promise request for 2 for position 8
I0318 17:39:25.730762  2212 replica.cpp:469] Reading position from leveldb took 12.15us
I0318 17:39:25.757675  2212 replica.cpp:384] Persisting action (19 bytes) to leveldb took 26.44ms
I0318 17:39:25.757715  2212 replica.cpp:967] Persisted action at 8
I0318 17:39:25.759368  2065 coordinator.cpp:316] Coordinator attempting to commit APPEND action at position 8
I0318 17:39:25.759640  2216 replica.cpp:807] Replica received write request for position 8
I0318 17:39:25.759893  2216 replica.cpp:469] Reading position from leveldb took 10.53us
I0318 17:39:25.820720  2216 replica.cpp:384] Persisting action (19 bytes) to leveldb took 60.36ms
I0318 17:39:25.820758  2216 replica.cpp:967] Persisted action at 8
I0318 17:39:25.821636  2065 coordinator.cpp:384] Telling other replicas of learned action at position 8
I0318 17:39:25.822064  2065 coordinator.cpp:395] Coordinator attempting to fill position 9 in the log
I0318 17:39:25.822101  2210 replica.cpp:907] Replica received learned notice for position 8
I0318 17:39:25.822845  2211 replica.cpp:704] Replica received explicit promise request for 2 for position 9
I0318 17:39:25.871033  2211 replica.cpp:384] Persisting action (8 bytes) to leveldb took 47.16ms
I0318 17:39:25.887930  2211 replica.cpp:967] Persisted action at 9
I0318 17:39:25.887518  2210 replica.cpp:384] Persisting action (19 bytes) to leveldb took 64.56ms
I0318 17:39:25.909652  2065 coordinator.cpp:498] Coordinator timed out attempting to fill position 9 in the log
tests/log_tests.cpp:1083: Failure
result is NONE
I0318 17:39:25.947976  2210 replica.cpp:967] Persisted action at 8
I0318 17:39:25.974679  2210 replica.cpp:912] Replica learned APPEND action at position 8
[  FAILED  ] CoordinatorTest.TruncateLearnedFill (6188 ms)
